question,answer,keyword
Trường Đại học Bách khoa – ĐHQG-HCM có các chương trình đào tạo chính nào?,"Trường có các chương trình: Tiêu chuẩn, Tài năng, Tiên tiến, Kỹ sư Chất lượng cao Việt-Pháp (PFIEV), Dạy và học bằng tiếng Anh, Định hướng Nhật Bản, Chuyển tiếp Quốc tế, Liên kết Cử nhân Kỹ thuật Quốc tế.","chương trình đào tạo, tiêu chuẩn, tài năng, tiên tiến, pfiev, tiếng anh, định hướng nhật bản, chuyển tiếp quốc tế, liên kết quốc tế"
Học phí cho Chương trình Tiêu chuẩn khoảng bao nhiêu một học kỳ?,Học phí cho Chương trình Tiêu chuẩn khoảng 15 triệu đồng/HK. Chương trình Tài năng và Kỹ sư Chất lượng cao Việt-Pháp (PFIEV) cũng có học phí tương đương.,"học phí, chương trình tiêu chuẩn, chương trình tài năng, pfiev, học kỳ"
Học phí cho các chương trình giảng dạy bằng tiếng Anh khoảng bao nhiêu?,"Học phí cho Chương trình Tiên tiến, Dạy và học bằng tiếng Anh, và giai đoạn đầu Chương trình Chuyển tiếp Quốc tế (Úc, Mỹ, NZ) khoảng 40 triệu đồng/HK. Chương trình Liên kết Cử nhân Kỹ thuật Quốc tế khoảng 128 triệu đồng/HK.","học phí, chương trình tiếng anh, tiên tiến, chuyển tiếp quốc tế, liên kết quốc tế, học kỳ"
Trường có những phương thức tuyển sinh dự kiến nào cho năm 2025?,Dự kiến có 2 phương thức chính: Xét tuyển thẳng theo quy chế Bộ GD&ĐT (1% - 5% chỉ tiêu) và Xét tuyển tổng hợp (95% - 99% chỉ tiêu).,"phương thức tuyển sinh, xét tuyển thẳng, xét tuyển tổng hợp, chỉ tiêu, năm 2025"
Chuẩn đầu vào tiếng Anh cho các chương trình quốc tế là gì?,"Chuẩn tiếng Anh đầu vào áp dụng cho CT Dạy & học bằng tiếng Anh, Tiên tiến, Chuyển tiếp Quốc tế (Úc/Mỹ/NZ) là: IELTS Academic ≥ 6.0 / TOEFL iBT ≥ 79 / TOEIC Nghe - Đọc ≥ 730 & Nói - Viết ≥ 280.","chuẩn tiếng anh, đầu vào, chương trình quốc tế, ielts, toefl, toeic"
Trường có các cơ sở đào tạo nào?,"Trường có 2 cơ sở: Cơ sở Lý Thường Kiệt tại Quận 10, TP.HCM và Cơ sở Dĩ An tại Khu Đô thị ĐHQG - HCM, TP. Dĩ An, Bình Dương.","cơ sở đào tạo, lý thường kiệt, dĩ an, địa điểm học"
Trường có ký túc xá cho sinh viên không?,"Có, trường có Ký túc xá Bách khoa tại Quận 10, TP.HCM với sức chứa hơn 1.800 sinh viên và Ký túc xá ĐHQG – HCM tại TP. Dĩ An với sức chứa hơn 40.000 sinh viên.","ký túc xá, chỗ ở sinh viên, cơ sở vật chất, ký túc xá bách khoa, ký túc xá đhqg"
Có những loại học bổng nào dành cho sinh viên?,"Có nhiều loại học bổng: khuyến khích học tập, từ Quỹ học bổng Bách khoa, tài trợ từ đối tác, học bổng cho CTĐT quốc tế, từ ĐHQG-HCM, và các chương trình vay ưu đãi 0% lãi suất.","học bổng, khuyến khích học tập, quỹ học bổng, vay ưu đãi, hỗ trợ tài chính, học bổng quốc tế"
Sinh viên Chương trình Kỹ sư Chất lượng cao Việt-Pháp (PFIEV) học tại đâu?,Sinh viên Chương trình PFIEV học tập tại Cơ sở Lý Thường Kiệt.,"pfiev, địa điểm học, cơ sở lý thường kiệt"
Chương trình PFIEV có thời gian đào tạo bao lâu và nhận bằng gì?,Thời gian đào tạo là 5 năm (10 học kỳ). Sinh viên tốt nghiệp nhận bằng Kỹ sư (tương đương Thạc sĩ) do trường cấp và Phụ lục bằng Kỹ sư đồng ký kết với trường đối tác Pháp.,"pfiev, thời gian đào tạo, bằng cấp, bằng kỹ sư, tương đương thạc sĩ"
