question,answer,keyword
Số điện thoại liên hệ của PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống là gì?,Số điện thoại là 0283 8647 256 - 6259.,"PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống, điện thoại"
Website của PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống là gì?,Website là http://www.dcselab.edu.vn.,"PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống, website"
Ai là Giám đốc của PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống?,Giám đốc là PGS. TS. Nguyễn Tấn Tiến.,"PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống, giám đốc, Nguyễn Tấn Tiến"
Email của Giám đốc PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống là gì?,Email là nttien@hcmut.edu.vn.,"PTN Trọng điểm Quốc gia Điều khiển kỹ thuật số và Kỹ thuật hệ thống, email giám đốc"
Văn phòng của PTN Trọng điểm Quốc gia Vật liệu Polyme và Compozit nằm ở đâu?,"Văn phòng tại C6 - 268 Lý Thường Kiệt, Phường 14, Quận 10, TP.HCM.","PTN Trọng điểm Quốc gia Vật liệu Polyme và Compozit, văn phòng, địa chỉ"
Ai là Trưởng PTN của PTN Trọng điểm Quốc gia Vật liệu Polyme và Compozit?,Trưởng PTN là PGS. TS. Nguyễn Trần Hà.,"PTN Trọng điểm Quốc gia Vật liệu Polyme và Compozit, trưởng PTN, Nguyễn Trần Hà"
Email của Trưởng PTN PTN Trọng điểm Quốc gia Vật liệu Polyme và Compozit là gì?,Email là nguyentranha@hcmut.edu.vn.,"PTN Trọng điểm Quốc gia Vật liệu Polyme và Compozit, email trưởng PTN"
Văn phòng của PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí nằm ở đâu?,"Văn phòng tại Phòng 118 và 118, Tòa nhà B2, Trường Đại học Bách khoa, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM.","PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí, văn phòng, địa chỉ"
Số điện thoại liên hệ của PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí là gì?,Số điện thoại là 028.3864.7256 nội bộ 6309.,"PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí, điện thoại"
Email liên hệ của PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí là gì?,Email là keylabcepp@hcmut.edu.vn.,"PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí, email"
Ai là Trưởng PTN của PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí?,Trưởng PTN là PGS. TS. Nguyễn Hữu Hiếu.,"PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí, trưởng PTN, Nguyễn Hữu Hiếu"
Email của Trưởng PTN PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí là gì?,Email là nhhieubk@hcmut.edu.vn.,"PTN Trọng điểm ĐHQG-HCM Công nghệ hóa học và Dầu khí, email trưởng PTN"
Văn phòng của PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong nằm ở đâu?,"Văn phòng tại Nhà C3 - 268 Lý Thường Kiệt, Phường 14, Quận 10, TP.HCM.","PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong, văn phòng, địa chỉ"
Số điện thoại liên hệ của PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong là gì?,Số điện thoại là 0287 3010 071.,"PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong, điện thoại"
Ai là Trưởng PTN của PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong?,Trưởng PTN là PGS. TS. Ngô Khánh Hiếu.,"PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong, trưởng PTN, Ngô Khánh Hiếu"
Email liên hệ của PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong là gì?,Email là ngokhanhhieu@hcmut.edu.vn.,"PTN Trọng điểm ĐHQG-HCM Động cơ đốt trong, email"
Văn phòng của PTN Trọng điểm ĐHQG-HCM Nghiên cứu Cấu trúc Vật liệu nằm ở đâu?,"Văn phòng tại Nhà B2 - 268 Lý Thường Kiệt, Phường 14, Quận 10, TP.HCM.","PTN Trọng điểm ĐHQG-HCM Nghiên cứu Cấu trúc Vật liệu, văn phòng, địa chỉ"
Ai là Trưởng PTN của PTN Trọng điểm ĐHQG-HCM Nghiên cứu Cấu trúc Vật liệu?,Trưởng PTN là TS. Nguyễn Thanh Tùng.,"PTN Trọng điểm ĐHQG-HCM Nghiên cứu Cấu trúc Vật liệu, trưởng PTN, Nguyễn Thanh Tùng"
Email liên hệ của PTN Trọng điểm ĐHQG-HCM Nghiên cứu Cấu trúc Vật liệu là gì?,Email là tungtn@hcmut.edu.vn.,"PTN Trọng điểm ĐHQG-HCM Nghiên cứu Cấu trúc Vật liệu, email"
Văn phòng của PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao nằm ở đâu?,"Văn phòng tại Nhà B7 - 268 Lý Thường Kiệt, Phường 14, Quận 10, TP.HCM.","PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao, văn phòng, địa chỉ"
Số điện thoại liên hệ của PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao là gì?,Số điện thoại là 0283 8688 971.,"PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao, điện thoại"
Số Fax của PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao là gì?,Số Fax là 0283 8688 971.,"PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao, fax"
Email liên hệ của PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao là gì?,Email là wastetechlab@hcmut.edu.vn.,"PTN Trọng điểm ĐHQG-HCM Công nghệ xử lý chất thải bậc cao, email"
