question,answer,keyword
Chương trình Kỹ sư Chất lượng cao Việt - Pháp ngành Xây dựng có tên đầy đủ là gì?,Tên đầy đủ là Kỹ sư Chất lượng cao Việt - Pháp ngành Xây dựng Dân dụng - Công nghiệp và Hiệu quả Năng lượng (Génie Civil - Bâtiment et Efficacité énergétique).,"chương trình pfiev, xây dựng dân dụng, công nghiệp, hiệu quả năng lượng"
Chương trình PFIEV ngành Xây dựng được thành lập từ năm nào?,Chương trình PFIEV ngành Xây dựng Dân dụng - Công nghiệp và Hiệu quả Năng lượng ra đời từ năm 2000.,"năm thành lập, chương trình pfiev"
Chương trình liên kết với các trường nào của Pháp?,Chương trình liên kết với Trường INSA de Lyon và Trường Ponts ParisTech.,"trường đối tác pháp, insa de lyon, ponts paristech"
Chương trình có được Ủy ban văn bằng kỹ sư Pháp (CTI) công nhận không?,"Có, chương trình PFIEV đã được kiểm định và công nhận bởi Ủy ban văn bằng kỹ sư Pháp (Commission des Titres d'Ingénieur-CTI).","kiểm định cti, ủy ban văn bằng kỹ sư pháp"
Chương trình có đạt chuẩn chất lượng Châu Âu EUR-ACE Master không?,"Có, chương trình được Cơ quan kiểm định ENAEE công nhận thương hiệu chất lượng Châu Âu EUR-ACE Master.","kiểm định enaee, eur-ace master"
Văn bằng của chương trình PFIEV được Bộ GD&ĐT Việt Nam công nhận tương đương trình độ nào?,Bộ Giáo dục & Đào tạo xác nhận văn bằng của chương trình PFIEV tương đương trình độ Thạc sĩ trong việc xét tuyển học tiếp lên trình độ cao hơn.,"bộ giáo dục và đào tạo, văn bằng tương đương thạc sĩ"
Chương trình đào tạo tập trung vào những kiến thức kỹ thuật nào trong ngành Xây dựng?,Chương trình cung cấp kiến thức và kỹ thuật ngành Xây dựng nói chung và đi sâu vào chuyên ngành Công trình Dân dụng.,"kiến thức ngành xây dựng, công trình dân dụng"
Chương trình tuân thủ những tiêu chuẩn nào trong đào tạo?,Chương trình đào tạo theo tiêu chuẩn của Việt Nam và Châu Âu.,"tiêu chuẩn việt nam, tiêu chuẩn châu âu"
Mục tiêu đặc biệt của chương trình đào tạo liên quan đến năng lượng và môi trường là gì?,"Chương trình đặc biệt hướng tới việc sử dụng hợp lý năng lượng để các công trình thân thiện với môi trường, thỏa điều kiện công trình xanh.","hiệu quả năng lượng, công trình xanh, thân thiện môi trường"
Chương trình được đào tạo theo hệ nào?,Chương trình đào tạo theo hệ Đại học Chính quy.,"hệ đào tạo, đại học chính quy"
