question,answer,keyword
Ngành Kỹ thuật Xây dựng Công trình Giao thông có vai trò gì trong kinh tế?,Ngành Kỹ thuật Xây dựng Công trình Giao thông là một phần quan trọng trong nền kinh tế.,"ngành kỹ thuật xây dựng công trình giao thông, kinh tế"
Ngành Kỹ thuật Xây dựng Công trình Giao thông được quản lý bởi bộ môn nào?,Ngành Kỹ thuật Xây dựng Công trình Giao thông được quản lý dưới sự quản lý của bộ môn Cầu Đường.,"bộ môn cầu đường, quản lý ngành"
Ngành Kỹ thuật Xây dựng Công trình Giao thông được khởi lập khi nào?,Ngành được khởi lập rất sớm khi còn ở trường Cao đẳng Công Chánh và sau này thành trường Đại học Bách khoa - ĐHQG-HCM năm 1976.,"khởi lập, cao đẳng công chánh, đại học bách khoa, đhqg-hcm, 1976"
Bộ môn Cầu Đường có phòng thí nghiệm không?,"Có, bộ môn Cầu Đường đã có phòng thí nghiệm được tài trợ bởi cơ quan UNESCO ngay từ khi thành lập.","bộ môn cầu đường, phòng thí nghiệm, unesco"
Sinh viên ngành được đào tạo những kiến thức gì?,Sinh viên được đào tạo các kiến thức xã hội chuyên ngành cơ sở về xây dựng và kiến thức chuyên môn ngành giao thông.,"kiến thức đào tạo, xây dựng, giao thông"
Sinh viên có thể giải quyết những vấn đề gì trong xây dựng công trình giao thông?,"Sinh viên có thể vận dụng sáng tạo và hiệu quả vào quá trình phân tích thiết kế thực tế, đề xuất giải pháp kết cấu, công nghệ và giải quyết các vấn đề trong xây dựng hay hệ thống giao thông.","giải quyết vấn đề, thiết kế, kết cấu, công nghệ, hệ thống giao thông"
Số lượng giảng viên cơ hữu của bộ môn là bao nhiêu?,Bộ môn có 12 giảng viên cơ hữu.,"giảng viên, số lượng"
Trình độ học vấn của các giảng viên cơ hữu như thế nào?,"Các giảng viên gồm 05 phó giáo sư, 05 tiến sĩ, 02 thạc sĩ, đều được đào tạo sau đại học từ nước ngoài.","giảng viên, trình độ, phó giáo sư, tiến sĩ, thạc sĩ, đào tạo nước ngoài"
Cựu sinh viên có tham gia vào quá trình đào tạo không?,"Có, cựu sinh viên đang làm việc trong doanh nghiệp, cơ quan nhà nước kết hợp tham gia vào quá trình đào tạo.","cựu sinh viên, đào tạo, doanh nghiệp, cơ quan nhà nước"
Mã ngành Chương trình Tiêu chuẩn là gì?,Mã ngành Chương trình Tiêu chuẩn là 115.,"mã ngành, chương trình tiêu chuẩn, 115"
