question,answer,keyword
Ngành Địa kỹ thuật Xây dựng thuộc nhóm ngành nào trong Trường?,Ngành Địa kỹ thuật Xây dựng thuộc nhóm ngành Xây dựng.,"ngành, địa kỹ thuật xây dựng, nhóm ngành xây dựng"
Ngành Địa kỹ thuật Xây dựng có phải là nhóm ngành tạo ra nhiều việc làm không?,"Có, ngành Địa kỹ thuật Xây dựng là 01 trong 05 nhóm ngành tạo ra nhiều việc làm.","ngành, địa kỹ thuật xây dựng, việc làm"
Ngành Địa kỹ thuật Xây dựng cần loại nguồn nhân lực như thế nào?,Ngành Địa kỹ thuật Xây dựng đang cần nguồn nhân lực chất lượng cao cho xã hội.,"ngành, địa kỹ thuật xây dựng, nhân lực chất lượng cao"
Vai trò chính của ngành Địa kỹ thuật Xây dựng là gì?,"Ngành Địa kỹ thuật Xây dựng là ""chìa khóa để giải quyết các thách thức"" trong xây dựng.","vai trò, địa kỹ thuật xây dựng, giải quyết thách thức"
Ngành Địa kỹ thuật Xây dựng tập trung giải quyết các vấn đề liên quan đến những loại công trình nào?,"Ngành giải quyết vấn đề công trình dân dụng, công nghiệp, giao thông, thủy lợi, tầng hầm, ngầm, và hạ tầng kỹ thuật.","địa kỹ thuật xây dựng, vấn đề, công trình"
Ngành này có giải quyết các vấn đề về công trình dân dụng và công nghiệp không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến công trình dân dụng và công nghiệp.","địa kỹ thuật xây dựng, công trình dân dụng, công trình công nghiệp"
Ngành này có giải quyết các vấn đề về nhà cao tầng không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến nhà cao tầng.","địa kỹ thuật xây dựng, nhà cao tầng"
Ngành này có giải quyết các vấn đề về công trình giao thông không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến công trình giao thông.","địa kỹ thuật xây dựng, công trình giao thông"
Ngành này có giải quyết các vấn đề về đường cao tốc và sân bay không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến đường cao tốc và sân bay.","địa kỹ thuật xây dựng, đường cao tốc, sân bay"
Ngành này có giải quyết các vấn đề về công trình thủy lợi không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến công trình thủy lợi.","địa kỹ thuật xây dựng, công trình thủy lợi"
"Ngành này có giải quyết các vấn đề về đê, đập không?","Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến đê, đập.","địa kỹ thuật xây dựng, đê, đập"
Ngành này có giải quyết các vấn đề về công trình tầng hầm và công trình ngầm không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến công trình tầng hầm và công trình ngầm.","địa kỹ thuật xây dựng, công trình tầng hầm, công trình ngầm"
Ngành này có giải quyết các vấn đề về các công trình hạ tầng kỹ thuật không?,"Có, ngành Địa kỹ thuật Xây dựng giải quyết các vấn đề liên quan đến các công trình hạ tầng kỹ thuật.","địa kỹ thuật xây dựng, hạ tầng kỹ thuật"
"Tổng số giảng viên, nghiên cứu viên của Trường Đại học Bách khoa năm 2023 là bao nhiêu?","Năm 2023, Trường có hơn 641 giảng viên và 81 Nghiên cứu viên.","giảng viên, nghiên cứu viên, trường đại học bách khoa, 2023"
"Tỷ lệ giảng viên có trình độ Tiến sĩ, Thạc sĩ toàn Trường năm 2023 là bao nhiêu?","Hơn 97% giảng viên Trường Đại học Bách khoa có trình độ Tiến sĩ, Thạc sĩ (số liệu 2023).","giảng viên, tiến sĩ, thạc sĩ, tỷ lệ, 2023"
Đội ngũ giảng viên của Khoa có bao nhiêu Phó Giáo sư?,Đội ngũ giảng viên Khoa có 03 Phó Giáo sư.,"giảng viên khoa, phó giáo sư"
Đội ngũ giảng viên của Khoa có bao nhiêu Tiến sĩ?,Đội ngũ giảng viên Khoa có 18 Tiến sĩ.,"giảng viên khoa, tiến sĩ"
Giảng viên Khoa chủ yếu tốt nghiệp từ các Trường Đại học ở đâu?,"Giảng viên Khoa chủ yếu tốt nghiệp từ các Trường Đại học của Mỹ, Úc, Nhật Bản, Hàn Quốc, Châu Âu và Đông Nam Á.","giảng viên khoa, tốt nghiệp, trường đại học"
Giảng viên Khoa có tốt nghiệp từ các Trường Đại học tại Mỹ không?,"Có, giảng viên Khoa chủ yếu tốt nghiệp từ các Trường Đại học của Mỹ.","giảng viên khoa, tốt nghiệp, mỹ"
Giảng viên Khoa có tốt nghiệp từ các Trường Đại học tại Châu Âu không?,"Có, giảng viên Khoa chủ yếu tốt nghiệp từ các Trường Đại học của Châu Âu.","giảng viên khoa, tốt nghiệp, châu âu"
Cơ sở vật chất phục vụ học tập và nghiên cứu của Trường có những gì?,"Trường có hơn 164 phòng thí nghiệm, xưởng thực tập, các phòng thí nghiệm trọng điểm quốc gia và đại học quốc gia.","cơ sở vật chất, phòng thí nghiệm, xưởng thực tập, phòng thí nghiệm trọng điểm"
Trường có bao nhiêu phòng thí nghiệm và xưởng thực tập?,Trường có hơn 164 phòng thí nghiệm và xưởng thực tập.,"phòng thí nghiệm, xưởng thực tập, cơ sở vật chất"
Trường có các phòng thí nghiệm trọng điểm không?,"Có, Trường có các phòng thí nghiệm trọng điểm quốc gia và đại học quốc gia.","phòng thí nghiệm, phòng thí nghiệm trọng điểm"
Trường có cơ sở vật chất phục vụ hoạt động thể thao không?,"Có, Trường có nhà thi đấu thể thao đa năng, sân đá banh, sân bóng rổ.","cơ sở vật chất, thể thao, nhà thi đấu, sân đá banh, sân bóng rổ"
Sinh viên tốt nghiệp ngành Địa kỹ thuật Xây dựng có thể làm việc ở đâu?,"Sinh viên có thể làm việc tại cơ quan quản lý nhà nước, công ty/doanh nghiệp trong/ngoài nước, tập đoàn đa quốc gia, doanh nghiệp tư vấn.","vị trí việc làm, sinh viên tốt nghiệp"
