question,answer,keyword
Ngành Kỹ thuật Vật liệu phù hợp với những bạn nào?,"Phù hợp với bạn đam mê Hóa học, Vật lý, Sinh học và liên ngành Khoa học tự nhiên. Cũng phù hợp với người tò mò về thế giới vật chất rắn, quy trình sản xuất, ứng dụng.","ngành kỹ thuật vật liệu, hóa học, vật lý, sinh học, khoa học tự nhiên, vật chất rắn, quy trình sản xuất"
Học ngành Kỹ thuật Vật liệu sẽ được trang bị những kiến thức chuyên sâu nào?,"Kiến thức nền tảng về sản xuất, gia công, kiểm tra tính chất cơ - lý - hóa - điện vật liệu. Cung cấp kiến thức chuyên sâu và khả năng học tập ở trình độ cao.","kiến thức chuyên sâu, sản xuất, gia công, tính chất vật liệu, học tập trình độ cao"
"Ngoài kiến thức chuyên môn, sinh viên ngành Kỹ thuật Vật liệu còn được rèn luyện những kỹ năng gì?","Kỹ năng nghề nghiệp, giao tiếp, làm việc nhóm, giải quyết vấn đề, và tư duy sáng tạo.","kỹ năng nghề nghiệp, giao tiếp, làm việc nhóm, giải quyết vấn đề, tư duy sáng tạo"
Thời gian đào tạo cho Chương trình Kỹ thuật Vật liệu Tiêu chuẩn là bao lâu?,"Chương trình Tiêu chuẩn đào tạo trong 8 học kỳ, tương đương 4 năm.","thời gian đào tạo, chương trình tiêu chuẩn, 8 học kỳ, 4 năm"
Mã ngành của Chương trình Kỹ thuật Vật liệu Tiêu chuẩn là bao nhiêu?,Mã ngành của Chương trình Tiêu chuẩn là 129.,"mã ngành, chương trình tiêu chuẩn, 129"
Thời gian đào tạo cho Chương trình Kỹ thuật Vật liệu Dạy và học bằng tiếng Anh là bao lâu?,"Chương trình Tiếng Anh đào tạo trong 8 học kỳ, tương đương 4 năm.","thời gian đào tạo, chương trình tiếng anh, 8 học kỳ, 4 năm"
Mã ngành của Chương trình Kỹ thuật Vật liệu Dạy và học bằng tiếng Anh là bao nhiêu?,Mã ngành của Chương trình Dạy và học bằng tiếng Anh là 229.,"mã ngành, chương trình tiếng anh, 229"
Chương trình Kỹ thuật Vật liệu có điểm đặc biệt nào về thực hành?,Có khối kiến thức thực hành thí nghiệm trên các trang thiết bị hiện đại.,"thực hành thí nghiệm, trang thiết bị hiện đại"
Sinh viên ngành Kỹ thuật Vật liệu có cơ hội thực tập thực tế ở đâu?,"Sinh viên thực tập thực tế tại các nhà máy, doanh nghiệp sản xuất trong ngành công nghệ vật liệu.","thực tập thực tế, nhà máy, doanh nghiệp"
Chương trình đào tạo Kỹ thuật Vật liệu đề cập đến những nhóm vật liệu công nghiệp nào?,"Kim loại - Hợp kim, Gốm - thủy tinh - xi măng, Cao su - nhựa - composite, Vật liệu năng lượng.","nhóm vật liệu, kim loại, hợp kim, gốm, thủy tinh, xi măng, cao su, nhựa, composite, vật liệu năng lượng"
Chương trình Kỹ thuật Vật liệu còn dạy về những nhóm vật liệu công nghệ cao nào?,"Vật liệu bán dẫn điện tử, vật liệu thông minh, vật liệu y tế, công nghệ nano, công nghệ in 3D vật liệu.","vật liệu công nghệ cao, bán dẫn điện tử, vật liệu thông minh, vật liệu y tế, công nghệ nano, công nghệ in 3d"
Chương trình Kỹ thuật Vật liệu (Tiêu chuẩn & Tiếng Anh) đạt chứng nhận kiểm định quốc tế nào?,Chương trình đạt chứng nhận kiểm định quốc tế AUN/QA năm 2022.,"chứng nhận kiểm định quốc tế, aun/qa, 2022"
Sinh viên Kỹ thuật Vật liệu (Tiêu chuẩn & Tiếng Anh) có thể học liên thông lên trình độ nào?,Sinh viên có thể liên thông Thạc sĩ.,liên thông thạc sĩ
Tên gọi đầy đủ của Chương trình Kỹ sư Chất lượng cao Việt - Pháp là gì?,Tên gọi đầy đủ là Chương trình Kỹ sư Chất lượng cao Việt - Pháp (PFIEV).,"chương trình kỹ sư chất lượng cao, việt - pháp, pfiev"
Thời gian đào tạo cho Chương trình PFIEV là bao lâu?,"Chương trình PFIEV đào tạo trong 10 học kỳ, tương đương 5 năm.","thời gian đào tạo, pfiev, 10 học kỳ, 5 năm"
Chương trình PFIEV có những ngành chuyên sâu nào?,Có 02 ngành: Vật liệu & Năng lượng và Vật liệu Polymer & Compozit.,"ngành chuyên sâu, pfiev, vật liệu & năng lượng, vật liệu polymer & compozit"
Ngành Vật liệu & Năng lượng trong Chương trình PFIEV hợp tác với trường đối tác nào?,Ngành Vật liệu & Năng lượng hợp tác với đối tác Ecole Centrale Paris.,"pfiev, vật liệu & năng lượng, ecole centrale paris"
Ngành Vật liệu Polymer & Compozit trong Chương trình PFIEV hợp tác với trường đối tác nào?,Ngành Vật liệu Polymer & Compozit hợp tác với đối tác INSA Lyon.,"pfiev, vật liệu polymer & compozit, insa lyon"
Sinh viên Chương trình PFIEV có cơ hội thực tập hoặc tốt nghiệp ở nước ngoài không?,"Có, học kỳ thực tập, tốt nghiệp chương trình PFIEV có thể học tập trao đổi ở Pháp, Nhật, Đài Loan.","thực tập nước ngoài, tốt nghiệp nước ngoài, pháp, nhật, đài loan"
Chương trình PFIEV đạt chứng nhận kiểm định quốc tế nào?,Chương trình PFIEV đạt chứng nhận kiểm định quốc tế Hiệp hội kỹ sư Châu Âu – CTI từ năm 2012.,"chứng nhận kiểm định quốc tế, cti, hiệp hội kỹ sư châu âu, 2012"
"Cơ sở vật chất phục vụ việc học thực hành, thí nghiệm ngành Kỹ thuật Vật liệu ra sao?","Người học được thực hành, thí nghiệm trong các phòng thí nghiệm đại cương và chuyên ngành Vật liệu với trang thiết bị đầy đủ, hiện đại.","cơ sở vật chất, phòng thí nghiệm, trang thiết bị hiện đại"
Các phòng thí nghiệm chuyên ngành chính của ngành Vật liệu là gì?,"PTN Vật liệu Kim loại & Hợp kim, PTN Vật liệu Gốm - Thủy tinh - Xi măng (Silicate), PTN Vật liệu Cao su - Nhựa - Composite (Polymer), PTN Công nghệ Nano - Bán dẫn - Y sinh (Năng lượng & Ứng dụng).","phòng thí nghiệm chuyên ngành, kim loại, hợp kim, gốm, thủy tinh, xi măng, silicate, cao su, nhựa, composite, polymer, nano, bán dẫn, y sinh, năng lượng, ứng dụng"
Tên gọi khác của Phòng thí nghiệm Vật liệu Gốm - Thủy tinh - Xi măng là gì?,Tên gọi khác là PTN Vật liệu Silicate.,"phòng thí nghiệm, gốm, thủy tinh, xi măng, silicate"
Tên gọi khác của Phòng thí nghiệm Công nghệ Nano - Bán dẫn - Y sinh là gì?,Tên gọi khác là PTN Năng lượng & Ứng dụng.,"phòng thí nghiệm, công nghệ nano, bán dẫn, y sinh, năng lượng, ứng dụng"
Sinh viên ngành Vật liệu có thể thực hành tại các phòng thí nghiệm tiên tiến nào của đơn vị liên kết?,"Các PTN tiên tiến như PTN Trọng điểm Quốc gia về Vật liệu Polymer & Composite, PTN Trọng điểm ĐHQG về Công nghệ Vật liệu, Trung tâm Nghiên cứu Vật liệu Polymer.","phòng thí nghiệm tiên tiến, đơn vị liên kết, ptg trọng điểm quốc gia, ptg trọng điểm đhqg, trung tâm nghiên cứu vật liệu polymer"
