question,answer,keyword
Ngành Kỹ thuật Xây dựng Công trình Biển đào tạo về những nội dung chính nào?,"Các nội dung chính bao gồm: Quy hoạch Cảng, Thiết kế Công trình Bến cảng, Công trình Bảo vệ Bờ biển (đê, kè), Biến đổi khí hậu và Thiên tai Biển.","chương trình đào tạo, quy hoạch cảng, công trình bến cảng, công trình bảo vệ bờ, biến đổi khí hậu, thiên tai biển"
Trình độ đào tạo của ngành Kỹ thuật Xây dựng Công trình Biển là gì?,Trình độ đào tạo của ngành Kỹ thuật Xây dựng Công trình Biển là Đại học.,"trình độ đào tạo, đại học, kỹ thuật xây dựng công trình biển"
Thời gian đào tạo của ngành Kỹ thuật Xây dựng Công trình Biển là bao lâu?,Thời gian đào tạo của ngành Kỹ thuật Xây dựng Công trình Biển là 04 năm.,"thời gian đào tạo, kỹ thuật xây dựng công trình biển"
Tổng số tín chỉ yêu cầu cho chương trình đào tạo là bao nhiêu?,Tổng số tín chỉ yêu cầu cho chương trình đào tạo là 131 tín chỉ.,"số tín chỉ, chương trình đào tạo, kỹ thuật xây dựng công trình biển"
Sinh viên ngành Kỹ thuật Xây dựng Công trình Biển cần nắm vững kiến thức môn nào?,"Sinh viên cần nắm vững kiến thức của các môn tự nhiên như Toán, Lý vì được vận dụng nhiều trong các môn chuyên ngành.","kiến thức yêu cầu, môn tự nhiên, toán, lý"
Sinh viên ngành Kỹ thuật Xây dựng Công trình Biển được học các môn chuyên ngành cơ sở nào?,"Sinh viên được học hầu hết các môn chuyên ngành cơ sở của một Kỹ sư Xây dựng nói chung như Sức bền Vật liệu, Nền móng Công trình, Bê tông Cốt thép.","môn chuyên ngành cơ sở, kỹ sư xây dựng, sức bền vật liệu, nền móng, bê tông cốt thép"
"Ngoài các môn cơ sở, sinh viên ngành này còn được trang bị kiến thức nào?","Sinh viên còn được trang bị các môn học chuyên ngành đặc thù về Cảng, Công trình Bảo vệ Bờ, các kiến thức liên quan đến Cơ học Chất lỏng, Cơ học Sông.","môn chuyên ngành đặc thù, cảng, công trình bảo vệ bờ, cơ học chất lỏng, cơ học sông"
Sinh viên tốt nghiệp ngành này có thể làm việc ở đâu?,Sinh viên khi ra trường có thể đáp ứng yêu cầu xây dựng đặc thù của công trình kể cả trên cạn cũng như dưới nước.,"khả năng làm việc, trên cạn, dưới nước"
Đội ngũ giảng viên của bộ môn Cảng - Công trình Biển có đặc điểm gì?,"Đội ngũ giảng viên của bộ môn được đào tạo chuyên sâu tại các cơ sở uy tín trong nước và nước ngoài (Pháp, Thái Lan, Nhật Bản...).","đội ngũ giảng viên, đào tạo chuyên sâu, cơ sở uy tín"
Cơ sở vật chất phục vụ học tập và nghiên cứu của ngành như thế nào?,"Phòng thí nghiệm hiện đại, đáp ứng việc học tập và nghiên cứu trong lĩnh vực xây dựng theo tiêu chuẩn Việt Nam và quốc tế.","cơ sở vật chất, phòng thí nghiệm, tiêu chuẩn việt nam, tiêu chuẩn quốc tế"
Phòng thí nghiệm tạo điều kiện gì cho người học?,"Phòng thí nghiệm tạo điều kiện cho người học tìm hiểu, thực hành thí nghiệm theo các tiêu chuẩn và tiếp cận kỹ thuật, công nghệ mới.","phòng thí nghiệm, thực hành thí nghiệm, kỹ thuật mới, công nghệ mới"
