question,answer,keyword
Ai là Hiệu trưởng Trường Đại học Bách khoa – ĐHQG-HCM hiện nay?,"NGƯT. GS. TS. Mai Thanh Phong là Hiệu trưởng, đồng thời giữ chức vụ Phó Bí thư Đảng ủy và Phó Chủ tịch Hội đồng Trường.","hiệu trưởng, mai thanh phong, ban giám hiệu, đảng ủy, hội đồng trường"
Trường Đại học Bách khoa hiện có bao nhiêu Phó Hiệu trưởng?,"Trường có ba Phó Hiệu trưởng là PGS. TS. Trần Thiên Phúc, PGS. TS. Phạm Trần Vũ, và PGS. TS. Huỳnh Kỳ Phương Hạ.","phó hiệu trưởng, trần thiên phúc, phạm trần vũ, huỳnh kỳ phương hạ, ban giám hiệu"
"Phó Hiệu trưởng nào phụ trách công tác đào tạo (đại học, sau đại học)?","PGS. TS. Trần Thiên Phúc phụ trách công tác Đào tạo đại học, đào tạo sau đại học và các chương trình liên kết đào tạo. Ông cũng là Phó Hiệu trưởng thường trực.","phó hiệu trưởng, trần thiên phúc, đào tạo đại học, đào tạo sau đại học, liên kết đào tạo"
Phó Hiệu trưởng nào phụ trách công tác nghiên cứu khoa học và hợp tác quốc tế?,"PGS. TS. Phạm Trần Vũ phụ trách công tác Nghiên cứu khoa học, chuyển giao công nghệ, hợp tác quốc tế và hợp tác doanh nghiệp.","phó hiệu trưởng, phạm trần vũ, nghiên cứu khoa học, hợp tác quốc tế, chuyển giao công nghệ"
Phó Hiệu trưởng nào phụ trách công tác sinh viên và hành chính quản trị?,"PGS. TS. Huỳnh Kỳ Phương Hạ phụ trách công tác Hành chính Quản trị và công tác sinh viên, bao gồm cả Trung tâm Dịch vụ Ký túc xá Bách khoa.","phó hiệu trưởng, huỳnh kỳ phương hạ, công tác sinh viên, hành chính quản trị, ký túc xá"
Ai là Chủ tịch Hội đồng Trường Đại học Bách khoa?,"GS. TS. Lê Minh Phương là Chủ tịch Hội đồng Trường, đồng thời là Bí thư Đảng ủy Trường Đại học Bách khoa.","hội đồng trường, chủ tịch hội đồng trường, lê minh phương, bí thư đảng ủy"
Văn phòng nào cung cấp thông tin và tư vấn tuyển sinh cho các chương trình quốc tế?,"Văn phòng Đào tạo Quốc tế (OISP) cung cấp tư vấn tuyển sinh. Bạn có thể liên hệ qua điện thoại 028 7301 4183 hoặc 03 9798 9798, hoặc email oisp@hcmut.edu.vn.","tư vấn tuyển sinh, văn phòng đào tạo quốc tế, oisp, chương trình quốc tế, liên hệ"
Liên hệ bộ phận Công tác Sinh viên ở đâu?,"Phòng Công tác Sinh viên đặt tại Phòng 101 nhà A4, 268 Lý Thường Kiệt, Quận 10. Điện thoại là 0283 8647 256 – 5211 và email ctsv@hcmut.edu.vn.","công tác sinh viên, liên hệ, địa chỉ, điện thoại, email, phòng công tác sinh viên"
Ai là Trưởng phòng Đào tạo của Trường Đại học Bách khoa?,"PGS. TS. Bùi Hoài Thắng là Trưởng phòng Đào tạo. Phòng Đào tạo đặt tại Trệt nhà A1, 268 Lý Thường Kiệt, Quận 10.","phòng đào tạo, trưởng phòng đào tạo, bùi hoài thắng, liên hệ"
Trung tâm dịch vụ ký túc xá Bách khoa đặt tại địa chỉ nào?,"Trung tâm Dịch vụ Ký túc xá Bách khoa đặt tại địa chỉ 497 Hoà hảo, Phường 7, Quận 10 Tp.HCM.","ký túc xá, địa chỉ ký túc xá, trung tâm dịch vụ ký túc xá bách khoa, cơ sở vật chất"
Trường Đại học Bách khoa bắt đầu thực hiện cơ chế tự chủ từ năm học nào?,Trường bắt đầu thực hiện theo cơ chế tự chủ trong năm học 2021-2022.,"cơ chế tự chủ, năm học 2021-2022, quản lý trường"
Ai là Giám đốc Trung tâm Ngoại ngữ của Trường?,ThS. Nguyễn Công Trí là Giám đốc Trung tâm Ngoại ngữ. Trung tâm có văn phòng tại Cơ sở Lý Thường Kiệt và Cơ sở Dĩ An.,"trung tâm ngoại ngữ, giám đốc, nguyễn công trí, liên hệ"
"Công tác quy hoạch, định hướng phát triển của trường do ai trực tiếp chỉ đạo trong Ban Giám hiệu?","Công tác quy hoạch, định hướng phát triển do NGƯT. GS. TS. Mai Thanh Phong, Hiệu trưởng, trực tiếp chỉ đạo.","quy hoạch phát triển, định hướng, ban giám hiệu, mai thanh phong"
Công tác tổ chức - nhân sự của trường do ai trực tiếp quản lý trong Ban Giám hiệu?,"Công tác tổ chức - nhân sự do NGƯT. GS. TS. Mai Thanh Phong, Hiệu trưởng, trực tiếp quản lý.","tổ chức nhân sự, ban giám hiệu, mai thanh phong"
Công tác kế hoạch – tài chính của trường do ai trực tiếp quản lý trong Ban Giám hiệu?,"Công tác kế hoạch – tài chính do NGƯT. GS. TS. Mai Thanh Phong, Hiệu trưởng, trực tiếp quản lý.","kế hoạch tài chính, ban giám hiệu, mai thanh phong"
Công tác đầu tư phát triển và cơ sở vật chất của trường do ai trực tiếp quản lý trong Ban Giám hiệu?,"Công tác đầu tư phát triển và cơ sở vật chất do NGƯT. GS. TS. Mai Thanh Phong, Hiệu trưởng, trực tiếp quản lý.","đầu tư phát triển, cơ sở vật chất, ban giám hiệu, mai thanh phong"
Công tác truyền thông của trường do ai trực tiếp quản lý trong Ban Giám hiệu?,"Công tác truyền thông do NGƯT. GS. TS. Mai Thanh Phong, Hiệu trưởng, trực tiếp quản lý.","truyền thông, ban giám hiệu, mai thanh phong"
Phó Hiệu trưởng Trần Thiên Phúc phụ trách những công tác đào tạo nào?,"PGS. TS. Trần Thiên Phúc phụ trách các công tác Đào tạo đại học, đào tạo sau đại học, đào tạo không chính quy, đào tạo không thường xuyên.","đào tạo đại học, đào tạo sau đại học, đào tạo không chính quy, trần thiên phúc"
Công tác đảm bảo chất lượng đào tạo do Phó Hiệu trưởng nào phụ trách?,Công tác đảm bảo chất lượng đào tạo do PGS. TS. Trần Thiên Phúc phụ trách.,"đảm bảo chất lượng, đào tạo, trần thiên phúc, phó hiệu trưởng"
Công tác khảo thí do Phó Hiệu trưởng nào phụ trách?,Công tác khảo thí do PGS. TS. Trần Thiên Phúc phụ trách.,"khảo thí, trần thiên phúc, phó hiệu trưởng"
Công tác thư viện và giáo trình do Phó Hiệu trưởng nào phụ trách?,Công tác thư viện và giáo trình do PGS. TS. Trần Thiên Phúc phụ trách.,"thư viện, giáo trình, trần thiên phúc, phó hiệu trưởng"
Công tác cựu sinh viên do Phó Hiệu trưởng nào phụ trách?,Công tác cựu sinh viên do PGS. TS. Trần Thiên Phúc phụ trách.,"cựu sinh viên, trần thiên phúc, phó hiệu trưởng"
Khoa Cơ khí do Phó Hiệu trưởng nào phụ trách các đơn vị?,Khoa Cơ khí do PGS. TS. Trần Thiên Phúc phụ trách các đơn vị.,"khoa cơ khí, trần thiên phúc, phụ trách đơn vị"
Khoa Kỹ thuật Giao thông do Phó Hiệu trưởng nào phụ trách các đơn vị?,Khoa Kỹ thuật Giao thông do PGS. TS. Trần Thiên Phúc phụ trách các đơn vị.,"khoa kỹ thuật giao thông, trần thiên phúc, phụ trách đơn vị"
Phòng Đào tạo Sau đại học do Phó Hiệu trưởng nào phụ trách?,Phòng Đào tạo Sau đại học do PGS. TS. Trần Thiên Phúc phụ trách.,"phòng đào tạo sau đại học, trần thiên phúc, phụ trách đơn vị"
Phòng Khảo thí và Bảo đảm Chất lượng do Phó Hiệu trưởng nào phụ trách?,Phòng Khảo thí và Bảo đảm Chất lượng do PGS. TS. Trần Thiên Phúc phụ trách.,"phòng khảo thí và đảm bảo chất lượng, trần thiên phúc, phụ trách đơn vị"
Thư viện Trường Đại học Bách khoa do Phó Hiệu trưởng nào phụ trách?,Thư viện Trường Đại học Bách khoa do PGS. TS. Trần Thiên Phúc phụ trách.,"thư viện, trần thiên phúc, phụ trách đơn vị"
Trung tâm Đào tạo Bảo dưỡng Công nghiệp do Phó Hiệu trưởng nào phụ trách?,Trung tâm Đào tạo Bảo dưỡng Công nghiệp do PGS. TS. Trần Thiên Phúc phụ trách.,"trung tâm đào tạo bảo dưỡng công nghiệp, trần thiên phúc, phụ trách đơn vị"
Trung tâm Đào tạo và Phát triển nguồn nhân lực Đại học Bách khoa do Phó Hiệu trưởng nào phụ trách?,Trung tâm Đào tạo và Phát triển nguồn nhân lực Đại học Bách khoa do PGS. TS. Trần Thiên Phúc phụ trách.,"trung tâm đào tạo và phát triển nguồn nhân lực, trần thiên phúc, phụ trách đơn vị"
Chương trình “Đào tạo Kỹ sư chất lượng cao tại Việt Nam (PFIEV)” do Phó Hiệu trưởng nào phụ trách?,Chương trình PFIEV do PGS. TS. Trần Thiên Phúc phụ trách.,"chương trình pfiev, đào tạo kỹ sư chất lượng cao, trần thiên phúc"
Các Chương trình liên kết đào tạo của trường do Phó Hiệu trưởng nào phụ trách?,Các Chương trình liên kết đào tạo do PGS. TS. Trần Thiên Phúc phụ trách.,"chương trình liên kết đào tạo, trần thiên phúc, phụ trách đơn vị"
Ai là Phó Hiệu trưởng thường trực của Trường Đại học Bách khoa?,PGS. TS. Trần Thiên Phúc là Phó Hiệu trưởng thường trực.,"phó hiệu trưởng thường trực, trần thiên phúc"
Công tác khởi nghiệp - đổi mới sáng tạo do Phó Hiệu trưởng nào phụ trách?,Công tác khởi nghiệp - đổi mới sáng tạo do PGS. TS. Phạm Trần Vũ phụ trách.,"khởi nghiệp, đổi mới sáng tạo, phạm trần vũ, phó hiệu trưởng"
Công tác sở hữu trí tuệ do Phó Hiệu trưởng nào phụ trách?,Công tác sở hữu trí tuệ do PGS. TS. Phạm Trần Vũ phụ trách.,"sở hữu trí tuệ, phạm trần vũ, phó hiệu trưởng"
Công tác hợp tác doanh nghiệp do Phó Hiệu trưởng nào phụ trách?,Công tác hợp tác doanh nghiệp do PGS. TS. Phạm Trần Vũ phụ trách.,"hợp tác doanh nghiệp, phạm trần vũ, phó hiệu trưởng"
Khoa Khoa học và Kỹ thuật Máy tính do Phó Hiệu trưởng nào phụ trách các đơn vị?,Khoa Khoa học và Kỹ thuật Máy tính do PGS. TS. Phạm Trần Vũ phụ trách các đơn vị.,"khoa khoa học và kỹ thuật máy tính, phạm trần vũ, phụ trách đơn vị"
Khoa Khoa học Ứng dụng do Phó Hiệu trưởng nào phụ trách các đơn vị?,Khoa Khoa học Ứng dụng do PGS. TS. Phạm Trần Vũ phụ trách các đơn vị.,"khoa khoa học ứng dụng, phạm trần vũ, phụ trách đơn vị"
Khoa Quản lý Công nghiệp do Phó Hiệu trưởng nào phụ trách các đơn vị?,Khoa Quản lý Công nghiệp do PGS. TS. Phạm Trần Vũ phụ trách các đơn vị.,"khoa quản lý công nghiệp, phạm trần vũ, phụ trách đơn vị"
Phòng Khoa học Công nghệ và Dự án do Phó Hiệu trưởng nào phụ trách?,Phòng Khoa học Công nghệ và Dự án do PGS. TS. Phạm Trần Vũ phụ trách.,"phòng khoa học công nghệ và dự án, phạm trần vũ, phụ trách đơn vị"
Phòng Quan hệ Đối ngoại do Phó Hiệu trưởng nào phụ trách?,Phòng Quan hệ Đối ngoại do PGS. TS. Phạm Trần Vũ phụ trách.,"phòng quan hệ đối ngoại, phạm trần vũ, phụ trách đơn vị"
Viện Nghiên cứu Năng lượng bền vững do Phó Hiệu trưởng nào phụ trách?,Viện Nghiên cứu Năng lượng bền vững do PGS. TS. Phạm Trần Vũ phụ trách.,"viện nghiên cứu năng lượng bền vững, phạm trần vũ, phụ trách đơn vị"
Công tác hành chính quản trị của trường do Phó Hiệu trưởng nào phụ trách?,Công tác hành chính quản trị do PGS. TS. Huỳnh Kỳ Phương Hạ phụ trách.,"hành chính quản trị, huỳnh kỳ phương hạ, phó hiệu trưởng"
Công tác thanh tra - pháp chế do Phó Hiệu trưởng nào phụ trách?,Công tác thanh tra - pháp chế do PGS. TS. Huỳnh Kỳ Phương Hạ phụ trách.,"thanh tra pháp chế, huỳnh kỳ phương hạ, phó hiệu trưởng"
Công tác thi đua - khen thưởng do Phó Hiệu trưởng nào phụ trách?,Công tác thi đua - khen thưởng do PGS. TS. Huỳnh Kỳ Phương Hạ phụ trách.,"thi đua khen thưởng, huỳnh kỳ phương hạ, phó hiệu trưởng"
Công tác cựu giáo chức do Phó Hiệu trưởng nào phụ trách?,Công tác cựu giáo chức do PGS. TS. Huỳnh Kỳ Phương Hạ phụ trách.,"cựu giáo chức, huỳnh kỳ phương hạ, phó hiệu trưởng"
