question,answer,keyword
Ngành Kỹ thuật Xây dựng thuộc nhóm ngành nào?,Ngành Kỹ thuật Xây dựng thuộc nhóm ngành Xây dựng.,nhóm ngành xây dựng
Chương trình đào tạo cử nhân ngành Kỹ thuật Xây dựng có mục tiêu gì?,"Đào tạo cử nhân có năng lực chuyên môn từ cơ bản đến chuyên sâu, phẩm chất tốt, đáp ứng nhu cầu lao động kỹ thuật cao.","chương trình đào tạo, năng lực chuyên môn, nhu cầu lao động"
Sinh viên ngành Kỹ thuật Xây dựng được trang bị những kỹ năng gì?,"Sinh viên được trang bị kiến thức chuyên môn và các kỹ năng mềm để phân tích, đề xuất giải pháp, giải quyết vấn đề kỹ thuật.","kiến thức chuyên môn, kỹ năng mềm, giải quyết vấn đề"
Sinh viên có khả năng giải quyết các vấn đề giao thông nào?,"Sinh viên có thể giải quyết vấn đề về kẹt xe, hệ thống giao thông thông minh, tổ chức giao thông trong đô thị mới.","vấn đề giao thông, kẹt xe, giao thông thông minh, tổ chức giao thông"
Đội ngũ giảng viên cơ hữu của ngành Kỹ thuật Xây dựng gồm bao nhiêu người?,Đội ngũ giảng viên cơ hữu của ngành gồm 12 giảng viên.,đội ngũ giảng viên cơ hữu
Trình độ của giảng viên cơ hữu ngành Kỹ thuật Xây dựng là gì?,"Giảng viên cơ hữu gồm 05 phó giáo sư, 05 tiến sĩ và 02 thạc sĩ, đều được đào tạo sau đại học từ nước ngoài.","trình độ giảng viên, phó giáo sư, tiến sĩ, thạc sĩ, đào tạo nước ngoài"
Mã ngành chương trình Tiêu chuẩn của ngành Kỹ thuật Xây dựng là bao nhiêu?,Mã ngành chương trình Tiêu chuẩn là 115.,"mã ngành, chương trình tiêu chuẩn"
Mã ngành chương trình Dạy và học bằng tiếng Anh của ngành Kỹ thuật Xây dựng là bao nhiêu?,Mã ngành chương trình Dạy và học bằng tiếng Anh là 215.,"mã ngành, chương trình tiếng anh"
Chương trình đào tạo cử nhân ngành Kỹ thuật Xây dựng có bao nhiêu tín chỉ?,Chương trình đào tạo cử nhân gồm 131 tín chỉ.,"chương trình đào tạo, tín chỉ"
Cơ sở vật chất của ngành Kỹ thuật Xây dựng có gì nổi bật?,"Cơ sở vật chất hiện đại, có phòng thí nghiệm đáp ứng việc học tập và nghiên cứu theo tiêu chuẩn Việt Nam và quốc tế.","cơ sở vật chất, phòng thí nghiệm, tiêu chuẩn quốc tế"
