question,answer,keyword
Mã trường của Trường Đại học Bách khoa – ĐHQG-HCM là gì?,Mã trường của trường là QSB.,"mã trường, QSB"
Tổng chỉ tiêu tuyển sinh dự kiến của trường năm 2025 là bao nhiêu?,Tổng chỉ tiêu tuyển sinh dự kiến năm 2025 của trường là 5.550 sinh viên.,"chỉ tiêu tuyển sinh, 2025"
Trường Đại học Bách khoa có bao nhiêu loại chương trình đào tạo chính?,"Dựa trên tài liệu, trường có 9 loại chương trình đào tạo chính được đề cập.","chương trình đào tạo, các loại chương trình"
Học phí dự kiến mỗi học kỳ cho chương trình Tiêu chuẩn là bao nhiêu?,Học phí dự kiến cho chương trình Tiêu chuẩn khoảng 15 triệu đồng/HK.,"học phí, chương trình tiêu chuẩn, 15 triệu đồng"
Học phí dự kiến mỗi học kỳ cho chương trình Tiên tiến là bao nhiêu?,Học phí dự kiến cho chương trình Tiên tiến khoảng 40 triệu đồng/HK.,"học phí, chương trình tiên tiến, 40 triệu đồng"
Chuẩn tiếng Anh đầu vào dự kiến cho chương trình Tiên tiến là gì?,Chuẩn tiếng Anh đầu vào dự kiến là IELTS (Academic) ≥ 6.0/TOEFL iBT ≥ 79/TOEIC Nghe-Đọc ≥ 730 & Nói-Viết ≥ 280.,"chuẩn tiếng anh, chương trình tiên tiến, IELTS, TOEFL iBT, TOEIC"
Thời gian đào tạo của chương trình Kỹ sư Chất lượng cao Việt-Pháp là bao lâu?,Thời gian đào tạo của chương trình PFIEV là 5 năm (10 học kỳ).,"chương trình PFIEV, thời gian đào tạo, 5 năm"
Bằng tốt nghiệp của chương trình PFIEV do đơn vị nào cấp?,Sinh viên tốt nghiệp PFIEV nhận bằng Kỹ sư (tương đương Thạc sĩ) do Trường ĐH Bách khoa cấp và Phụ lục bằng đồng ký kết với trường đối tác Pháp.,"bằng tốt nghiệp, chương trình PFIEV, kỹ sư, thạc sĩ, đại học bách khoa, trường pháp"
Trường dự kiến có bao nhiêu phương thức tuyển sinh năm 2025?,Trường dự kiến có 2 phương thức tuyển sinh chính là xét tuyển thẳng và xét tuyển tổng hợp.,"phương thức tuyển sinh, xét tuyển thẳng, xét tuyển tổng hợp"
Ngưỡng đảm bảo chất lượng cho phương thức xét tuyển tổng hợp là bao nhiêu?,Ngưỡng đảm bảo chất lượng (theo điểm xét tuyển tổng hợp) dự kiến là 50 điểm (thang 100).,"ngưỡng đảm bảo chất lượng, xét tuyển tổng hợp, điểm sàn"
Chứng chỉ IELTS 6.0 được quy đổi thành bao nhiêu điểm môn tiếng Anh trong học bạ và thi THPT?,Chứng chỉ IELTS 6.0 được quy đổi thành 10 điểm môn tiếng Anh trong học bạ và thi THPT.,"quy đổi chứng chỉ, IELTS 6.0, điểm tiếng anh"
Trường Đại học Bách khoa có các cơ sở đào tạo ở đâu?,"Trường có cơ sở tại Lý Thường Kiệt, Quận 10, TP.HCM và cơ sở tại Dĩ An, Khu Đô thị ĐHQG-HCM.","cơ sở đào tạo, lý thường kiệt, dĩ an"
Sinh viên chương trình PFIEV có được ưu tiên đăng ký ký túc xá không?,Sinh viên chương trình PFIEV được ưu tiên trong việc xét đăng ký cư trú tại Ký túc xá Đại học Bách khoa ở Quận 10.,"ký túc xá, chương trình PFIEV, ưu tiên, quận 10"
"Tôi có thể liên hệ ai để hỏi thông tin về các chương trình quốc tế (như Tiên tiến, Dạy & học tiếng Anh)?",Bạn có thể liên hệ Văn phòng Đào tạo Quốc tế (OISP) để được tư vấn.,"liên hệ, tư vấn tuyển sinh, chương trình quốc tế, OISP"
"Tôi có thể liên hệ ai để hỏi thông tin về chương trình Tiêu chuẩn, Tài năng, Kỹ sư Chất lượng cao Việt-Pháp?",Bạn có thể liên hệ Văn phòng Tư vấn Tuyển sinh.,"liên hệ, tư vấn tuyển sinh, chương trình tiêu chuẩn, tài năng, PFIEV"
Chỉ tiêu tuyển sinh dự kiến năm 2025 cho ngành Khoa học Máy tính chương trình Tiêu chuẩn là bao nhiêu?,Chỉ tiêu dự kiến cho ngành Khoa học Máy tính chương trình Tiêu chuẩn năm 2025 là 240 sinh viên.,"chỉ tiêu tuyển sinh, khoa học máy tính, chương trình tiêu chuẩn, 2025"
Thí sinh đoạt giải Học sinh Giỏi Quốc gia môn Toán có được tuyển thẳng vào những ngành nào?,"Thí sinh đoạt giải HSG Quốc gia môn Toán được đăng ký tuyển thẳng vào tất cả các ngành/nhóm ngành của trường. Điều này áp dụng cho thí sinh đoạt giải nhất, nhì, ba, tốt nghiệp THPT và đoạt giải không quá 3 năm tính tới thời điểm xét tuyển thẳng.","tuyển thẳng, học sinh giỏi quốc gia, môn toán, ngành tuyển thẳng"
"Khi xét tuyển thẳng theo quy chế của Bộ GD&ĐT, thí sinh được đăng ký tối đa bao nhiêu nguyện vọng?",Thí sinh xét tuyển thẳng theo quy chế của Bộ GD&ĐT được nộp 01 bộ hồ sơ với tối đa 05 nguyện vọng ngành/nhóm ngành.,"xét tuyển thẳng, nguyện vọng, quy chế bộ gd&đt, số lượng nguyện vọng"
Công thức tính Điểm Xét tuyển tổng hợp (dự kiến) bao gồm những thành phần nào?,"Công thức tính Điểm Xét tuyển tổng hợp (thang 100) dự kiến bằng tổng của [Điểm học lực] và [Điểm ưu tiên]. Điểm học lực được tính từ Điểm năng lực, Điểm TNTHPT quy đổi, và Điểm học THPT quy đổi.","điểm xét tuyển, xét tuyển tổng hợp, công thức tính điểm, điểm học lực, điểm ưu tiên"
Chuẩn tiếng Anh đầu vào dự kiến cho chương trình Dạy và học bằng tiếng Anh là gì?,Chuẩn tiếng Anh đầu vào dự kiến là IELTS (Academic) ≥ 6.0 / TOEFL iBT ≥ 79/ TOEIC Nghe-Đọc ≥ 730 & Nói-Viết ≥ 280. Trường hợp đạt IELTS 5.5 hoặc tương đương có thể được xét tạm đạt và phải bổ sung chứng chỉ trong 01 học kỳ.,"chuẩn tiếng anh, chương trình dạy và học bằng tiếng anh, IELTS, TOEFL iBT, TOEIC"
Có bao nhiêu chương trình đào tạo của Trường Đại học Bách khoa được kiểm định chất lượng quốc tế?,"Trường hiện có 66 chương trình đào tạo được công nhận đạt chuẩn bởi các tổ chức kiểm định quốc tế uy tín như ABET, AQAS, ASIIN, FIBAA, CTI, AUN-QA,....","kiểm định chất lượng, chương trình đào tạo, chuẩn quốc tế, số lượng chương trình"
Đội ngũ cán bộ giảng dạy của trường có bao nhiêu Giáo sư và Phó Giáo sư?,"Tính tới 02/04/2025, đội ngũ cán bộ giảng dạy của trường có 14 Giáo sư và 129 Phó Giáo sư.","đội ngũ giảng viên, giáo sư, phó giáo sư, số lượng"
Ký túc xá Đại học Bách khoa tại Quận 10 có sức chứa khoảng bao nhiêu sinh viên?,Ký túc xá Bách khoa tại Quận 10 có sức chứa hơn 1.800 sinh viên.,"ký túc xá, quận 10, sức chứa sinh viên"
Trường có những loại học bổng nào từ nguồn tài trợ bên ngoài?,"Trường có học bổng tài trợ từ nguồn vận động các đối tác nước ngoài, tổ chức, doanh nghiệp dành cho sinh viên có thành tích tốt hoặc sinh viên khó khăn. Quỹ này có hơn 16 tỷ đồng.","học bổng, tài trợ, đối tác nước ngoài, doanh nghiệp, quỹ học bổng"
Sinh viên chương trình Kỹ sư Chất lượng cao Việt-Pháp (PFIEV) có những cơ hội nào để học tập hoặc thực tập tại Pháp?,Sinh viên PFIEV có cơ hội học 02 năm tại Pháp theo chương trình bằng đôi hoặc thực tập tốt nghiệp tại Pháp trong 06 tháng với các học bổng. Sinh viên xuất sắc có thể thi đậu Đại học Bách khoa Palaiseau Paris để nhận bằng Kỹ sư sau 3 năm học tại Pháp.,"chương trình pfiev, cơ hội học tập pháp, thực tập pháp, học bổng, bằng đôi"
