question,answer,keyword
Chương trình Kỹ sư Chất lượng cao ngành Kỹ thuật và Quản lý Nước đô thị ra đời năm nào?,Chương trình ra đời từ năm 2019.,"chương trình đào tạo, ra đời, 2019"
Chương trình Kỹ thuật và Quản lý Nước đô thị liên kết với trường đại học nào của Pháp?,"Chương trình liên kết với Trường Đại học Bách Khoa Quốc Gia Grenoble, Pháp (Institut National Polytechnique de Grenoble).","liên kết, đại học bách khoa quốc gia grenoble, pháp"
Chương trình Kỹ thuật và Quản lý Nước đô thị tích hợp những kiến thức gì?,"Tích hợp kiến thức về kết cấu công trình xây dựng, hạ tầng môi trường nước đô thị, xử lý nước thải và nước cấp, hệ thống cấp thoát nước.","kiến thức, kết cấu, hạ tầng môi trường nước, xử lý nước, cấp thoát nước"
Sinh viên tốt nghiệp ngành này có khả năng giải quyết vấn đề gì?,"Có khả năng đưa ra giải pháp xử lý các vấn đề hiện tại về cơ sở hạ tầng đô thị và môi trường nước, cũng như giải pháp tổng thể về quy hoạch.","khả năng, giải quyết vấn đề, hạ tầng đô thị, môi trường nước, quy hoạch"
Nhu cầu đào tạo ngành Kỹ thuật và Quản lý Nước đô thị có tăng không?,"Nhu cầu đào tạo và nghiên cứu về ngành này ngày càng tăng nhanh cùng với sự phát triển kinh tế, đô thị hóa và công nghiệp hóa.","nhu cầu đào tạo, nghiên cứu, tăng nhanh"
Lĩnh vực Kỹ thuật và Quản lý Nước đô thị được chú trọng đầu tư ở đâu tại Việt Nam?,"Được đầu tư không chỉ tập trung vào các đô thị lớn mà cả các đô thị vừa và nhỏ, đặc biệt ở vùng duyên hải miền Trung, Tây nguyên, đồng bằng sông Cửu Long.","đầu tư, đô thị, duyên hải miền trung, tây nguyên, đồng bằng sông cửu long"
Những công trình nào được ưu tiên xây dựng trong lĩnh vực này?,"Các công trình nhằm mục đích cấp nước sạch, thoát nước, kiểm soát ngập lụt đô thị và vệ sinh môi trường được ưu tiên.","công trình ưu tiên, cấp nước sạch, thoát nước, kiểm soát ngập lụt, vệ sinh môi trường"
Ngành Kỹ thuật và Quản lý Nước đô thị cung cấp kiến thức chuyên sâu nào?,"Cung cấp kiến thức về kết cấu hạ tầng môi trường nước đô thị, xử lý nước, thiết kế, xây dựng, quản lý công trình, đánh giá rủi ro lũ lụt, ô nhiễm.","kiến thức chuyên sâu, hạ tầng môi trường nước, xử lý nước, thiết kế, quản lý công trình, rủi ro"
Chương trình đào tạo kỹ sư PFIEV ngành này đáp ứng các khối kiến thức chung nào của Trường ĐH Bách Khoa?,"Đáp ứng khối kiến thức Toán và khoa học tự nhiên, giáo dục chung, và kiến thức ngành/cơ sở ngành của Trường Đại học Bách Khoa.","khối kiến thức chung, toán, khoa học tự nhiên, giáo dục chung, kiến thức ngành"
Các môn học nào được tích hợp trong khối kiến thức ngành và cơ sở ngành?,"Tích hợp Thủy lực, Thủy văn Đô thị, Chất lượng Nước, Phương pháp Xử lý Nước, Thủy lực Nước ngầm, Thiết kế Hệ thống Cấp thoát Nước, Kiểm soát Ngập lụt Đô thị và nghiên cứu tổng quát chất lượng nước.","kiến thức ngành, thủy lực, thủy văn đô thị, chất lượng nước, xử lý nước, cấp thoát nước, ngập lụt đô thị"
Sinh viên có cơ hội làm luận văn tốt nghiệp hoặc thực tập ở Pháp không?,"Sinh viên có cơ hội thực tập và làm luận văn tốt nghiệp tại Pháp. Luận văn tốt nghiệp, thực tập là thành phần chương trình đào tạo.","luận văn tốt nghiệp, thực tập, đồ án, pháp"
Cơ sở vật chất và trang thiết bị thí nghiệm của ngành có đạt chuẩn quốc tế không?,"Có, cơ sở vật chất và thiết bị được trang bị và vận hành để đào tạo kỹ sư đạt chuẩn quốc tế.","cơ sở vật chất, trang thiết bị thí nghiệm, chuẩn quốc tế"
Ai vận hành cơ sở vật chất và trang thiết bị thí nghiệm của ngành?,Cơ sở vật chất được vận hành bởi đội ngũ giảng viên Việt Nam và Pháp.,"vận hành, giảng viên việt nam, giảng viên pháp"
Sinh viên tốt nghiệp ngành Kỹ thuật và Quản lý Nước đô thị có nhiều cơ hội việc làm không?,"Có, kỹ sư tốt nghiệp đáp ứng nhu cầu xã hội và có nhiều cơ hội việc làm.","cơ hội việc làm, đáp ứng nhu cầu xã hội"
Sinh viên tốt nghiệp có thể làm việc ở các cơ quan nhà nước nào?,"Có thể làm việc tại Sở Xây dựng, Sở Giao Thông Công chánh, Sở Tài nguyên và Môi Trường, Sở Khoa học và Công nghệ, Phòng Quản lý Đô thị.","cơ quan nhà nước, sở xây dựng, sở tài nguyên và môi trường, phòng quản lý đô thị"
Các loại hình công ty nào thường tuyển dụng kỹ sư ngành này?,"Công ty tư vấn thiết kế/thi công, công ty nhà nước về cấp thoát nước, công ty thi công xây dựng, công ty tư vấn xây dựng, công ty Cơ điện.","đơn vị tuyển dụng, công ty môi trường, công ty xây dựng, công ty tư vấn, công ty cơ điện"
