question,answer,keyword
Ngành Kỹ thuật Dầu khí Bách khoa TP.HCM xếp hạng bao nhiêu thế giới?,Ngành Kỹ thuật Dầu khí của Khoa Kỹ thuật Địa chất Dầu khí hiện đang xếp hạng 51-100 trên thế giới theo bảng xếp hạng của Tổ chức QS.,"kỹ thuật dầu khí, xếp hạng, qs world university ranking"
Ngành Kỹ thuật Dầu khí Bách khoa TP.HCM đã đạt kiểm định quốc tế nào?,Ngành Kỹ thuật Dầu khí của Khoa Kỹ thuật Địa chất và Dầu khí đã đạt kiểm định Quốc tế theo Tiêu chuẩn AUN-QA.,"kỹ thuật dầu khí, kiểm định quốc tế, aun-qa"
Chương trình đào tạo Ngành Kỹ thuật Dầu khí bao gồm những chủ đề chính nào?,"Chương trình đào tạo bao gồm tìm kiếm, thăm dò, khai thác các nguồn tài nguyên dầu khí; Địa chất, khoan, khai thác, xử lý, lưu trữ và vận chuyển dầu khí.","chương trình đào tạo, kỹ thuật dầu khí, chủ đề đào tạo"
Ngành Kỹ thuật Dầu khí có học về các nguồn tài nguyên phi truyền thống không?,"Có, chương trình đào tạo Ngành Kỹ thuật Dầu khí bao gồm các chủ đề về các nguồn tài nguyên phi truyền thống.","kỹ thuật dầu khí, tài nguyên phi truyền thống"
Ngành Kỹ thuật Dầu khí có liên quan đến năng lượng sạch và bảo vệ môi trường không?,"Có, chương trình đào tạo Ngành Kỹ thuật Dầu khí bao gồm các chủ đề về năng lượng sạch, bảo vệ môi trường.","kỹ thuật dầu khí, năng lượng sạch, bảo vệ môi trường"
Ngành Kỹ thuật Địa chất có bao nhiêu chuyên ngành?,"Ngành Kỹ thuật Địa chất bao gồm ba chuyên ngành: Địa kỹ thuật, Địa chất môi trường, Quản lý tài nguyên đất và khoáng sản.","kỹ thuật địa chất, chuyên ngành"
Chuyên ngành Địa kỹ thuật nghiên cứu những gì?,"Chuyên ngành Địa kỹ thuật nghiên cứu cơ học đất đá, địa chất thủy văn, các phương pháp cải tạo đất nền, tính toán ổn định công trình và thiết kế, vận hành hệ thống quan trắc.","chuyên ngành địa kỹ thuật, cơ học đất đá, địa chất thủy văn"
Chuyên ngành Địa kỹ thuật được ứng dụng trong các lĩnh vực nào?,"Hướng ứng dụng bao gồm khảo sát, tính toán, thiết kế nền móng công trình dân dụng, công nghiệp, đường cao tốc, công trình ngầm, khai thác mỏ, điện gió ven biển.","chuyên ngành địa kỹ thuật, ứng dụng, nền móng công trình"
Chuyên ngành Địa chất môi trường tập trung vào những nội dung nào?,"Chuyên ngành này áp dụng khoa học Trái Đất để bảo vệ môi trường an toàn - bền vững, bao gồm kỹ thuật môi trường, quản lý môi trường, đánh giá tác động môi trường, ứng dụng công nghệ thông tin, viễn thám.","chuyên ngành địa chất môi trường, khoa học trái đất, bảo vệ môi trường"
Chuyên ngành Quản lý đất và tài nguyên khoáng sản học những gì?,"Chuyên ngành này bao gồm phân bố, kinh tế, tìm kiếm, đánh giá tác động môi trường và quản lý đất và tài nguyên khoáng sản.","chuyên ngành quản lý đất, tài nguyên khoáng sản"
