question,answer,keyword
,,
Câu hỏi,Trả lời,Từ khóa
Ai là Trưởng khoa Khoa Cơ khí?,Trưởng khoa Khoa Cơ khí là PGS. TS. Bùi Trọng Hiếu.,"trưởng khoa, khoa cơ khí, bùi trọng hiếu"
Trưởng khoa Khoa Công nghệ Vật liệu là ai?,Trưởng khoa Khoa Công nghệ Vật liệu là TS. Nguyễn Khánh Sơn.,"trưởng khoa, khoa công nghệ vật liệu, nguyễn khánh sơn"
Ai đang giữ chức vụ Trưởng khoa Khoa Điện - Điện tử?,TS. Nguyễn Quang Nam là Trưởng khoa Khoa Điện - Điện tử.,"trưởng khoa, khoa điện - điện tử, nguyễn quang nam"
Khoa Kỹ thuật Xây dựng đào tạo các ngành/chuyên ngành nào ở bậc Đại học theo Chương trình Tiêu chuẩn?,"Khoa Kỹ thuật Xây dựng đào tạo các nhóm ngành Xây dựng và Quản lý Dự án Xây dựng, Kiến trúc, Kinh tế xây dựng theo Chương trình Tiêu chuẩn bậc Đại học.","khoa kỹ thuật xây dựng, đào tạo đại học, chương trình tiêu chuẩn, ngành học"
Chương trình Dạy và học bằng tiếng Anh bậc Đại học tại Khoa Cơ khí bao gồm các ngành nào?,"Khoa Cơ khí đào tạo Chương trình Dạy và học bằng tiếng Anh bậc Đại học các ngành Kỹ thuật Cơ Điện tử, Kỹ thuật Cơ khí, và Logistics và Quản lý Chuỗi Cung ứng.","khoa cơ khí, đào tạo đại học, tiếng anh, ngành học"
Các ngành nào tại Khoa Điện - Điện tử có chương trình Tài năng?,"Chương trình Tài năng của Khoa Điện - Điện tử có các ngành Kỹ thuật điện, Kỹ thuật điều khiển và tự động hóa, Kỹ thuật điện tử - Viễn thông.","khoa điện - điện tử, chương trình tài năng, ngành học"
Khoa Cơ khí có những phòng thí nghiệm/xưởng nào trực thuộc khoa?,"Khoa Cơ khí có các phòng thí nghiệm trực thuộc khoa như PTN CAD/CAM, PTN Đo lường, PTN Điều khiển và tự động hóa, PTN Công nghệ tạo hình và xử lý vật liệu, Thư viện Khoa, Xưởng cơ khí, Phòng không gian CDIO.","khoa cơ khí, phòng thí nghiệm, xưởng, cơ sở vật chất"
Khoa Khoa học và Kỹ thuật Máy tính có những bộ môn nào?,"Khoa Khoa học và Kỹ thuật Máy tính có các bộ môn: Công nghệ Phần mềm, Hệ thống thông tin, Hệ thống và Mạng máy tính, Khoa học Máy tính, Kỹ thuật Máy tính.","khoa khoa học và kỹ thuật máy tính, bộ môn, cơ cấu tổ chức"
