question,answer,keyword
Ngành Kiến trúc tại Trường Đại học Bách khoa – ĐHQG-HCM đào tạo ra những cử nhân gì?,Ngành đào tạo Cử nhân Kiến trúc Dân dụng - Công nghiệp và Cử nhân Kiến trúc Cảnh quan.,"cử nhân kiến trúc, kiến trúc dân dụng, kiến trúc công nghiệp, kiến trúc cảnh quan"
Mục tiêu đào tạo của ngành Kiến trúc là gì?,"Mục tiêu là đào tạo cử nhân có đủ nền tảng kiến thức để thiết kế kiến trúc và cảnh quan đô thị, đáp ứng phát triển kinh tế, xã hội, môi trường bền vững.","mục tiêu đào tạo, thiết kế kiến trúc, kiến trúc cảnh quan, phát triển bền vững"
Sinh viên ngành Kiến trúc sẽ được trang bị những khối kiến thức nào?,"Sinh viên được trang bị kiến thức chung, khoa học cơ bản, khoa học xã hội, nhân văn, kiến thức cơ sở ngành và chuyên ngành (Lịch sử ngành, Hội họa, Kỹ thuật xây dựng...).","kiến thức chung, khoa học cơ bản, khoa học xã hội, nhân văn, cơ sở ngành, chuyên ngành"
Ngành Kiến trúc giúp sinh viên phát triển những năng lực nào?,"Ngành phát triển tư duy lý luận khoa học và khả năng sáng tạo trong đồ án, thực hành thiết kế không gian kiến trúc và cảnh quan đô thị.","năng lực, tư duy lý luận, sáng tạo, thực hành thiết kế, kiến trúc cảnh quan"
Mã ngành cho Chương trình Tiêu chuẩn ngành Kiến trúc là bao nhiêu?,Mã ngành Chương trình Tiêu chuẩn là 117.,"mã ngành, chương trình tiêu chuẩn, 117"
Mã ngành cho Chương trình Dạy và học bằng tiếng Anh Chuyên ngành Kiến trúc cảnh quan là bao nhiêu?,Mã ngành Chương trình Dạy và học bằng tiếng Anh Chuyên ngành Kiến trúc cảnh quan là 217.,"mã ngành, chương trình tiếng anh, kiến trúc cảnh quan, 217"
Ngành Kiến trúc có yêu cầu thi môn năng khiếu vẽ trong kỳ tuyển sinh không?,Ngành không thi tuyển môn năng khiếu vẽ.,"tuyển sinh, năng khiếu vẽ, không thi"
Sinh viên ngành Kiến trúc được học vẽ như thế nào nếu không thi năng khiếu?,"Sinh viên được dạy kiến thức cơ bản về hội hoạ như nguyên tắc tượng, kí hoạ kiến trúc trong 3 học kỳ đầu.","học vẽ, hội hoạ, kí hoạ kiến trúc, 3 học kỳ đầu"
Sinh viên được học những nguyên tắc cơ bản nào về hội họa trong 3 học kỳ đầu?,"Sinh viên được học những nguyên tắc về tượng, kí hoạ kiến trúc trong 3 học kỳ đầu.","hội hoạ, nguyên tắc tượng, kí hoạ kiến trúc"
Ngành Kiến trúc có bao nhiêu chuyên ngành đào tạo?,Ngành có 02 chuyên ngành đào tạo.,"chuyên ngành đào tạo, 02 chuyên ngành"
Hai chuyên ngành đào tạo của ngành Kiến trúc là gì?,"Hai chuyên ngành là (1) Kiến trúc Dân dụng và Công nghiệp, và (2) Kiến trúc Cảnh quan (Chương trình dạy và học bằng tiếng Anh).","chuyên ngành, kiến trúc dân dụng, công nghiệp, kiến trúc cảnh quan, chương trình tiếng anh"
Chuyên ngành Kiến trúc Cảnh quan có được dạy bằng tiếng Anh không?,Chuyên ngành Kiến trúc Cảnh quan là Chương trình dạy và học bằng tiếng Anh.,"chuyên ngành kiến trúc cảnh quan, dạy bằng tiếng anh"
Chương trình đào tạo ngành Kiến trúc có tập trung vào tính ứng dụng không?,Có. Cả hai chương trình đều tập trung đào tạo mang tính ứng dụng.,"chương trình đào tạo, tính ứng dụng"
Tính ứng dụng của chương trình đào tạo được thể hiện qua đâu?,"Tính ứng dụng thể hiện trong các môn đồ án và các môn học có vị trí, chức năng cụ thể.","tính ứng dụng, môn đồ án, môn học chức năng"
Sinh viên có cơ hội tham gia các Workshop không?,Có. Sinh viên được tham gia vào các Workshop hợp tác trong nước và quốc tế.,"workshop, hợp tác quốc tế, hợp tác trong nước"
Đề tài của các Workshop mà sinh viên tham gia là gì?,"Các Workshop mà sinh viên tham gia là về các đề tài về đô thị, di sản và công trình.","workshop, đề tài đô thị, di sản, công trình"
Cơ sở vật chất phục vụ đào tạo ngành Kiến trúc như thế nào?,"Sinh viên được thực hành thí nghiệm trong tất cả các phòng thí nghiệm chuyên ngành của khoa Kỹ thuật Xây dựng với thiết bị đầy đủ, hiện đại.","cơ sở vật chất, phòng thí nghiệm, khoa kỹ thuật xây dựng, thiết bị hiện đại"
Sinh viên ngành Kiến trúc có được sử dụng các phòng thí nghiệm chuyên ngành của Khoa Kỹ thuật Xây dựng không?,Có. Sinh viên được thực hành thí nghiệm trong tất cả các phòng thí nghiệm chuyên ngành của Khoa Kỹ thuật Xây dựng.,"phòng thí nghiệm chuyên ngành, khoa kỹ thuật xây dựng"
Hệ thống phòng thí nghiệm chuyên ngành bao gồm những loại phòng nào?,"Hệ thống phòng thí nghiệm chuyên ngành bao gồm phòng phục vụ đào tạo và phòng phục vụ đồ án, luận văn, nghiên cứu.","phòng thí nghiệm chuyên ngành, phòng phục vụ đào tạo, phòng phục vụ nghiên cứu"
Có phòng thí nghiệm riêng cho chương trình Dạy và học bằng tiếng Anh không?,Có. Có phòng thí nghiệm phục vụ đào tạo sử dụng tài nguyên hiện có và sẽ đầu tư bổ sung từ nguồn kinh phí chương trình Dạy và học bằng tiếng Anh.,"phòng thí nghiệm, chương trình tiếng anh, tài nguyên, kinh phí"
