question,answer,keyword
Ngành Kỹ thuật Máy tính thuộc nhóm ngành nào?,Ngành Kỹ thuật Máy tính thuộc nhóm ngành Máy tính và Công nghệ thông tin.,"ngành kỹ thuật máy tính, nhóm ngành máy tính, công nghệ thông tin"
Mục tiêu của chương trình ngành Kỹ thuật Máy tính là gì?,"Đào tạo người học có khả năng thiết kế, xây dựng, triển khai hệ thống phần mềm và phần cứng cho máy tính và thiết bị điều khiển.","mục tiêu đào tạo, hệ thống phần mềm, hệ thống phần cứng, thiết bị điều khiển"
Người học ngành Kỹ thuật Máy tính được hướng tới khả năng đặc biệt nào?,"Khả năng thiết kế, hiện thực và tạo được các vi mạch bằng các công nghệ khác nhau.","thiết kế vi mạch, hiện thực vi mạch, công nghệ vi mạch"
Người học tốt nghiệp ngành Kỹ thuật Máy tính có được trang bị kiến thức để học tiếp cao học không?,"Có, người học tốt nghiệp được trang bị kiến thức cần thiết để học tiếp cao học và tiến sĩ trong lĩnh vực Máy tính và CNTT.","học tiếp cao học, học tiếp tiến sĩ, lĩnh vực máy tính, công nghệ thông tin"
Ngành Kỹ thuật Máy tính là sự giao thoa giữa những ngành nào?,Kỹ thuật Máy tính là sự giao thoa giữa ngành Khoa học Máy tính và Điện tử.,"kỹ thuật máy tính, khoa học máy tính, điện tử"
"Ngoài các vấn đề về máy tính, ngành Kỹ thuật Máy tính còn liên quan đến gì?",Còn liên quan đến phần cứng và thiết kế vi mạch.,"phần cứng, thiết kế vi mạch"
Ngành Kỹ thuật Máy tính hướng tới việc phát triển ứng dụng phần mềm trên hệ thống nào?,Trên các hệ thống tính toán chuyên biệt.,"hệ thống tính toán chuyên biệt, ứng dụng phần mềm"
Ví dụ về ứng dụng phần mềm trên hệ thống tính toán chuyên biệt được nhắc đến là gì?,Nhận dạng khuôn mặt trên nền tảng thiết bị nhúng dùng trong nhà thông minh.,"nhận dạng khuôn mặt, thiết bị nhúng, nhà thông minh"
Một ví dụ khác về ứng dụng là gì?,Giám sát chất lượng không khí sử dụng công nghệ internet vạn vật - cảm biến năng lượng thấp - điện toán đám mây.,"giám sát chất lượng không khí, internet vạn vật, cảm biến năng lượng thấp, điện toán đám mây"
Người học chuyên ngành Thiết kế Vi mạch số có thể tập trung vào quy trình nào?,Quy trình thiết kế và hiện thực các vi mạch với các công nghệ khác nhau.,"chuyên ngành thiết kế vi mạch số, quy trình thiết kế, hiện thực vi mạch, công nghệ khác nhau"
Sinh viên theo học ngành Kỹ thuật Máy tính hiện có thể theo đuổi những định hướng nào?,"Hệ thống tính toán hiện đại, Internet vạn vật (IoT), Thiết kế Vi mạch số (Digital VLSI Design).","định hướng học tập, hệ thống tính toán hiện đại, internet vạn vật, thiết kế vi mạch số"
Định hướng Hệ thống tính toán hiện đại đào sâu kiến thức về các hệ thống nào?,"Hệ thống tính toán hiệu năng cao, hệ thống nhúng, hệ thống tái cấu hình, thiết kế vi mạch.","định hướng hệ thống tính toán hiện đại, hệ thống hiệu năng cao, hệ thống nhúng, hệ thống tái cấu hình"
Định hướng Hệ thống tính toán hiện đại ứng dụng trong các nhóm nào?,"Sử dụng trí tuệ nhân tạo, phân tích dữ liệu lớn, phân tích dữ liệu sinh học.","trí tuệ nhân tạo, phân tích dữ liệu lớn, phân tích dữ liệu sinh học"
Định hướng Internet vạn vật đào sâu kiến thức về việc xây dựng các hệ thống dựa trên nền tảng nào?,Internet vạn vật.,"định hướng internet vạn vật, nền tảng internet vạn vật"
Các ví dụ về hệ thống được xây dựng dựa trên nền tảng Internet vạn vật là gì?,"Hệ thống tự hành, hệ thống giám sát môi trường, hệ thống điều khiển tự động.","hệ thống tự hành, hệ thống giám sát môi trường, hệ thống điều khiển tự động"
Định hướng Internet vạn vật còn liên quan đến lĩnh vực an ninh mạng nào?,"Phòng chống tấn công mạng, phòng chống giả mạo trên môi trường mạng, bảo mật các hệ thống mạng.","an ninh mạng, phòng chống tấn công mạng, phòng chống giả mạo, bảo mật hệ thống mạng"
Sinh viên định hướng Thiết kế Vi mạch số được tìm hiểu và thực hành với công cụ nào?,Các công cụ thiết kế vi mạch tiêu chuẩn của thế giới.,"định hướng thiết kế vi mạch số, công cụ thiết kế vi mạch"
Sinh viên định hướng Thiết kế Vi mạch số sử dụng thiết bị hỗ trợ thử nghiệm như thế nào?,Sử dụng các thiết bị hỗ trợ thử nghiệm tiên tiến.,thiết bị hỗ trợ thử nghiệm
"Hàng năm, sản phẩm thiết kế tiêu biểu của sinh viên Thiết kế Vi mạch số có thể được mang đi đâu?",Dự thi các cuộc thi thiết kế vi mạch trong và ngoài nước.,"sản phẩm thiết kế sinh viên, cuộc thi thiết kế vi mạch"
Sản phẩm thiết kế của sinh viên Thiết kế Vi mạch số có thể nhận hỗ trợ gì thông qua đối tác nước ngoài?,Hỗ trợ chế tạo chip thử nghiệm.,"chế tạo chip thử nghiệm, đối tác nước ngoài"
Mã ngành của chương trình Kỹ thuật Máy tính hệ Tiêu chuẩn là bao nhiêu?,Mã ngành chương trình Tiêu chuẩn là 107.,"mã ngành, chương trình tiêu chuẩn, 107"
Mã ngành của chương trình Kỹ thuật Máy tính Dạy và học bằng tiếng Anh là bao nhiêu?,Mã ngành chương trình Dạy và học bằng tiếng Anh là 207.,"mã ngành, chương trình tiếng anh, 207"
Trường Đại học Bách khoa bắt đầu xây dựng chương trình đào tạo theo chuẩn ABET từ năm nào?,Từ năm 2008.,"chuẩn abet, xây dựng chương trình đào tạo, 2008"
ABET là chuẩn dành cho các chương trình đào tạo thuộc lĩnh vực nào?,Chuẩn dành cho các chương trình đào tạo về kỹ thuật và công nghệ.,"chuẩn abet, kỹ thuật, công nghệ"
Chuẩn ABET được áp dụng phổ biến ở đâu?,Tại các trường đại học của Mỹ.,"chuẩn abet, trường đại học của mỹ"
Chương trình đào tạo ngành Kỹ thuật Máy tính đạt kiểm định ABET vào năm nào?,Năm 2014.,"chương trình kỹ thuật máy tính, kiểm định abet, 2014"
Chương trình Kỹ thuật Máy tính có phải là một trong những chương trình đầu tiên của Việt Nam đạt ABET?,"Vâng, đây là một trong hai chương trình đào tạo đầu tiên của Việt Nam đạt kiểm định ABET.","chương trình đầu tiên, việt nam, kiểm định abet"
Hoạt động xây dựng chương trình theo chuẩn ABET giúp nâng cao chất lượng chương trình đến đâu?,Đến các chuẩn mực quốc tế.,"chuẩn abet, nâng cao chất lượng, chuẩn mực quốc tế"
Người học tốt nghiệp từ các chương trình được ABET kiểm định sẽ được công nhận rộng rãi bởi ai?,Bởi các công ty và tổ chức của Mỹ.,"tốt nghiệp, chương trình abet, công ty mỹ, tổ chức mỹ"
Chương trình đào tạo Kỹ thuật Máy tính đang sử dụng cơ sở vật chất nào?,Các phòng thí nghiệm chuyên biệt.,"cơ sở vật chất, phòng thí nghiệm chuyên biệt"
Các phòng thí nghiệm chuyên biệt phục vụ hoạt động của ai?,Phục vụ hoạt động học tập và nghiên cứu của cả sinh viên và giảng viên.,"sinh viên, giảng viên, học tập, nghiên cứu"
Kể tên một số thiết bị chuyên dụng trong các phòng thí nghiệm?,"GPU, các board FPGA tính toán hiệu năng cao, điện toán biên, board mạch phát triển hệ thống nhúng, cảm biến chuyên dụng.","thiết bị chuyên dụng, gpu, fpga, hệ thống nhúng, cảm biến chuyên dụng"
Các thiết bị chuyên dụng phục vụ cho các bài toán ứng dụng nào?,Các bài toán dữ liệu lớn và trí tuệ nhân tạo.,"dữ liệu lớn, trí tuệ nhân tạo"
Các phòng thử nghiệm chuyên dụng của bộ môn được đầu tư đồng bộ ở bao nhiêu cơ sở của trường?,Ở cả hai cơ sở của trường.,"phòng thử nghiệm, cơ sở của trường"
Ngành Kỹ thuật Máy tính được công ty nào hỗ trợ trực tiếp về công cụ thiết kế bản quyền?,Công ty Cadance và Renesas.,"công ty cadance, công ty renesas, công cụ thiết kế bản quyền"
Công ty Cadance và Renesas còn hỗ trợ gì khác cho ngành Kỹ thuật Máy tính?,Hỗ trợ chuyển giao kỹ thuật thiết kế vi mạch.,"cadance, renesas, chuyển giao kỹ thuật, thiết kế vi mạch"
Chương trình Kỹ thuật Máy tính cung cấp kiến thức về các hệ thống tính toán hiện đại nào?,"Bộ xử lý đa nhân, hệ thống tính toán nhiều lõi như GPU, vi mạch lập trình, điện toán đám mây, kết nối vạn vật.","hệ thống tính toán hiện đại, bộ xử lý đa nhân, gpu, vi mạch lập trình, điện toán đám mây, kết nối vạn vật"
Các phương pháp tiếp cận tiên tiến trong lĩnh vực nào được cung cấp?,"Trí tuệ nhân tạo, an toàn thông tin và tính toán hiệu năng cao.","trí tuệ nhân tạo, an toàn thông tin, tính toán hiệu năng cao"
Sinh viên có thể thiết kế và triển khai các hệ thống tính toán kết hợp nào?,Hệ thống tính toán kết hợp phần cứng và phần mềm.,"thiết kế hệ thống, triển khai hệ thống, phần cứng, phần mềm"
Kể tên một số ví dụ về hệ thống kết hợp phần cứng và phần mềm mà sinh viên có thể làm?,"Hệ thống nhà thông minh, hệ thống điều khiển thông minh trong ô tô, hệ thống quan trắc và giám sát sử dụng cảm biến hiện đại.","hệ thống nhà thông minh, hệ thống điều khiển ô tô, hệ thống quan trắc, hệ thống giám sát, cảm biến"
Sinh viên tốt nghiệp ngành Kỹ thuật Máy tính có cơ hội nghề nghiệp với mức lương như thế nào?,"Mức lương hàng đầu trong ngành khoa học, kỹ thuật và công nghệ.","cơ hội nghề nghiệp, mức lương"
Nhiều cựu sinh viên của khoa đang làm việc và đảm nhận vị trí quan trọng tại các công ty nào trong lĩnh vực thiết kế vi mạch?,"Marvell, Renesas, Synopsys.","cựu sinh viên, công ty công nghệ, thiết kế vi mạch, marvell, renesas, synopsys"
"Các công ty công nghệ hàng đầu thế giới/trong nước mà cựu sinh viên đang làm việc trong lĩnh vực nhúng, HPC...?","Google, Microsoft, Facebook, Amazon, VNPT, Viettel, VNG, Zalo, FPT, KMS, TMA, Global CyberSoft, Mobifone, Bosch, Intel Vietnam.","cựu sinh viên, công ty công nghệ, hệ thống nhúng, hpc, google, microsoft, facebook, amazon, viettel, fpt"
Cựu sinh viên của Khoa đang làm việc ở nhiều quốc gia nào khác?,"Mỹ, Nhật, Hàn Quốc và Singapore.","cựu sinh viên, quốc gia, mỹ, nhật, hàn quốc, singapore"
"Các trường đại học nào trên thế giới mà cựu sinh viên học tiếp bậc cao hơn về thiết kế vi mạch, HPC...?","TUDelft (Hà Lan), UCC (Ireland), UEC (Tokyo), Cardiff (Vương Quốc Anh), Northwestern University (Hoa Kỳ), NUS (Singapore).","học tiếp bậc cao, trường đại học thế giới, thiết kế vi mạch, hpc, hệ thống nhúng"
"Hàng năm, Khoa tổ chức bao nhiêu hoạt động kết nối giữa Doanh nghiệp và sinh viên?",Nhiều hoạt động.,"hoạt động kết nối, doanh nghiệp, sinh viên"
Hoạt động Gặp gỡ Doanh nghiệp được tổ chức nhằm mục đích gì?,"Kết nối Khoa với Doanh nghiệp, cung cấp thông tin và lấy ý kiến góp ý.","gặp gỡ doanh nghiệp, kết nối, ý kiến góp ý"
Mục đích của hoạt động Hội chợ việc làm là gì?,Quy tụ các Doanh nghiệp tìm kiếm nguồn nhân lực.,"hội chợ việc làm, tuyển dụng, nguồn nhân lực"
Hoạt động gửi sinh viên đi thực tập ngoài trường được triển khai khi nào?,Đại trà vào học kỳ hè hằng năm.,"thực tập ngoài trường, học kỳ hè"
Kể tên các hoạt động ngoại khóa khác do Khoa tổ chức?,"Seminar, cuộc thi học thuật và tham quan.","hoạt động ngoại khóa, seminar, cuộc thi học thuật, tham quan"
Các chương trình học bổng Sau Đại học bao gồm loại hỗ trợ nào?,Hỗ trợ nghiên cứu khoa học với kinh phí hỗ trợ cho học viên và nghiên cứu sinh.,"học bổng sau đại học, hỗ trợ nghiên cứu khoa học, kinh phí hỗ trợ"
Kể tên một số chương trình học bổng Sau Đại học được nhắc đến?,"Học bổng Sau Đại học của ĐHQG-HCM, Quỹ đổi mới sáng tạo Vingroup, Hội Thương gia Đài Loan tại Việt Nam, Vallet, Pony Chung, Toshiba.","học bổng sau đại học, đhqg-hcm, vingroup, hội thương gia đài loan, vallet, pony chung, toshiba"
Chương trình học bổng trao đổi đến các Trường Đại học ở Châu Âu tên là gì?,Erasmus Mundus.,"học bổng trao đổi, châu âu, erasmus mundus"
Địa chỉ liên hệ chính của Khoa là ở đâu?,"Tòa A3, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh.","địa chỉ liên hệ, tòa a3, đại học bách khoa, đhqg-hcm"
Số điện thoại liên hệ của Khoa là bao nhiêu?,(84.8) 38.647.256 - ext: 7847.,"số điện thoại liên hệ, 38.647.256, 7847"
Trang Facebook liên hệ của Khoa Khoa học và Kỹ thuật Máy tính là gì?,fb.com/cse.hcmut.,"facebook, khoa khoa học và kỹ thuật máy tính, cse.hcmut"
Trang Facebook liên hệ của ngành Kỹ thuật Máy tính là gì?,fb.com/hcmut.ce.,"facebook, ngành kỹ thuật máy tính, hcmut.ce"
Địa chỉ website của Khoa là gì?,cse.hcmut.edu.vn.,"website, khoa khoa học và kỹ thuật máy tính, cse.hcmut.edu.vn"
Địa chỉ email liên hệ của Khoa là gì?,kkhktmt@hcmut.edu.vn.,"email liên hệ, kkhktmt@hcmut.edu.vn"
"Từ năm nào, chương trình Kỹ thuật Máy tính được xây dựng theo chuẩn ABET?",Từ năm 2008.,"xây dựng chương trình, chuẩn abet, 2008"
Chuẩn ABET được áp dụng tại các trường đại học ở quốc gia nào phổ biến nhất?,Ở Mỹ.,"chuẩn abet, trường đại học mỹ"
"Năm 2014, chương trình Kỹ thuật Máy tính là một trong bao nhiêu chương trình của Khoa đạt kiểm định ABET?",Là một trong hai chương trình.,"chương trình đạt kiểm định, 2014, khoa khoa học và kỹ thuật máy tính"
Chất lượng của chương trình Kỹ thuật Máy tính được nâng cao nhờ hoạt động nào?,Nhờ hoạt động xây dựng chương trình đào tạo theo chuẩn ABET.,"chất lượng chương trình, chuẩn abet"
Người học tốt nghiệp chương trình ABET có lợi thế gì khi làm việc với công ty Mỹ?,Được công nhận rộng rãi.,"tốt nghiệp abet, công ty mỹ, công nhận rộng rãi"
Các phòng thí nghiệm chuyên biệt có nhiều loại thiết bị như thế nào?,Rất nhiều thiết bị chuyên dụng.,"phòng thí nghiệm, thiết bị chuyên dụng"
Các board FPGA trong phòng thí nghiệm được sử dụng cho mục đích gì?,Tính toán hiệu năng cao và điện toán biên.,"board fpga, tính toán hiệu năng cao, điện toán biên"
Các board mạch phát triển trong phòng thí nghiệm phục vụ cho hệ thống nào?,Hệ thống nhúng.,"board mạch phát triển, hệ thống nhúng"
Các cảm biến chuyên dụng được sử dụng để phát triển các ứng dụng như thế nào?,Ứng dụng tại các hệ thống tính toán hiệu năng cao phục vụ cho các bài toán dữ liệu lớn và trí tuệ nhân tạo.,"cảm biến chuyên dụng, hệ thống tính toán hiệu năng cao, dữ liệu lớn, trí tuệ nhân tạo"
